donor_id,donor_name,donor_age,donor_color,structure_id,structure_name,structure_abbreviation,structure_color,top_level_structure_id,top_level_structure_name,top_level_structure_abbreviation,top_level_structure_color
183096414,"MMU31370","E40","F0F0F0",128011614,"marginal zone of rostral cingulate cortex","rCGmz","EEE0A8",3999,"brain","Br","E0E0E0"
117415819,"MMU36477","E40","F0F0F0",128011614,"marginal zone of rostral cingulate cortex","rCGmz","EEE0A8",3999,"brain","Br","E0E0E0"
113213682,"MMU37857","E40","F0F0F0",128011614,"marginal zone of rostral cingulate cortex","rCGmz","EEE0A8",3999,"brain","Br","E0E0E0"
125953538,"MMU38481","E40","F0F0F0",128011614,"marginal zone of rostral cingulate cortex","rCGmz","EEE0A8",3999,"brain","Br","E0E0E0"
183096414,"MMU31370","E40","F0F0F0",128012422,"marginal zone of V1","V1mz","EEE0A8",3999,"brain","Br","E0E0E0"
117415819,"MMU36477","E40","F0F0F0",128012422,"marginal zone of V1","V1mz","EEE0A8",3999,"brain","Br","E0E0E0"
125953538,"MMU38481","E40","F0F0F0",128012422,"marginal zone of V1","V1mz","EEE0A8",3999,"brain","Br","E0E0E0"
183096414,"MMU31370","E40","F0F0F0",128012458,"inner cortical plate (infragranular layer) of V1","V1cpi","E49C33",3999,"brain","Br","E0E0E0"
117415819,"MMU36477","E40","F0F0F0",128012458,"inner cortical plate (infragranular layer) of V1","V1cpi","E49C33",3999,"brain","Br","E0E0E0"
183096414,"MMU31370","E40","F0F0F0",128011654,"subventricular zone of rostral cingulate cortex","rCGsz","D670A0",3999,"brain","Br","E0E0E0"
117415819,"MMU36477","E40","F0F0F0",128011654,"subventricular zone of rostral cingulate cortex","rCGsz","D670A0",3999,"brain","Br","E0E0E0"
113213682,"MMU37857","E40","F0F0F0",128011654,"subventricular zone of rostral cingulate cortex","rCGsz","D670A0",3999,"brain","Br","E0E0E0"
183096414,"MMU31370","E40","F0F0F0",128012478,"subventricular zone of V1","V1sz","D670A0",3999,"brain","Br","E0E0E0"
117415819,"MMU36477","E40","F0F0F0",128012478,"subventricular zone of V1","V1sz","D670A0",3999,"brain","Br","E0E0E0"
113213682,"MMU37857","E40","F0F0F0",128012478,"subventricular zone of V1","V1sz","D670A0",3999,"brain","Br","E0E0E0"
183096414,"MMU31370","E40","F0F0F0",128011670,"outer ventricular zone of rostral cingulate cortex","rCGvzo","D14D46",3999,"brain","Br","E0E0E0"
