id,name,gene-id,gene-symbol,gene-name,entrez-id,chromosome,start-position,end-position
279037253,"ENSG00000135333",1093963,"EPHA7","EPH receptor A7",2045,"6",93949737,93953258
279037258,"ENSG00000135333",1093963,"EPHA7","EPH receptor A7",2045,"6",93955015,93955171
279037263,"ENSG00000135333",1093963,"EPHA7","EPH receptor A7",2045,"6",93956509,93956703
279037268,"ENSG00000135333",1093963,"EPHA7","EPH receptor A7",2045,"6",93964364,93964514
279037273,"ENSG00000135333",1093963,"EPHA7","EPH receptor A7",2045,"6",93965545,93965755
279037278,"ENSG00000135333",1093963,"EPHA7","EPH receptor A7",2045,"6",93967179,93967241
279037283,"ENSG00000135333",1093963,"EPHA7","EPH receptor A7",2045,"6",93967816,93968002
279037288,"ENSG00000135333",1093963,"EPHA7","EPH receptor A7",2045,"6",93969071,93969197
279037293,"ENSG00000135333",1093963,"EPHA7","EPH receptor A7",2045,"6",93973577,93973633
279037298,"ENSG00000135333",1093963,"EPHA7","EPH receptor A7",2045,"6",93974311,93974420
279037303,"ENSG00000135333",1093963,"EPHA7","EPH receptor A7",2045,"6",93979194,93979378
279037308,"ENSG00000135333",1093963,"EPHA7","EPH receptor A7",2045,"6",93982015,93982140
279037313,"ENSG00000135333",1093963,"EPHA7","EPH receptor A7",2045,"6",94066434,94066770
279037318,"ENSG00000135333",1093963,"EPHA7","EPH receptor A7",2045,"6",94067973,94068129
279037323,"ENSG00000135333",1093963,"EPHA7","EPH receptor A7",2045,"6",94119371,94120888
279037328,"ENSG00000135333",1093963,"EPHA7","EPH receptor A7",2045,"6",94124420,94124485
279037333,"ENSG00000135333",1093963,"EPHA7","EPH receptor A7",2045,"6",94128962,94129265
